date,ticker,factor
2016-12-01,0,21.379070468834016
2016-12-02,0,-31.627531944032334
2016-12-03,0,32.19728604455696
2016-12-06,0,10.399795672094749
2016-12-07,0,-8.267388819697407
2016-12-08,0,-52.05190073323913
2016-12-09,0,-19.23314380188259
2016-12-10,0,27.51368083132424
2016-12-13,0,-32.36854589216019
2016-12-14,0,-54.897542375071914
2016-12-15,0,-35.70291151473235
2016-12-16,0,-43.700007126707746
2016-12-17,0,-25.10969388237454
2016-12-20,0,-34.8413348820305
2016-12-21,0,-8.797235245206128
2016-12-22,0,-27.21680989413675
2016-12-23,0,49.53746003152842
2016-12-24,0,-78.33489035496329
2016-12-27,0,-7.769608443934896
2016-12-28,0,-19.881603466081454
2016-12-29,0,-40.35033378777717
2016-12-30,0,-28.36265495845889
2016-12-31,0,5.003266708700718
2017-01-03,0,-17.087766928610105
2017-01-04,0,-24.138515025241233
2017-01-05,0,-70.31744444628843
2017-01-06,0,6.485006318422325
2017-01-07,0,1.413190667937498
2017-01-10,0,-14.551454518773644
2017-01-11,0,2.892825933961032
2017-01-12,0,6.8676218816928865
2017-01-13,0,-13.421782450993474
2017-01-14,0,-21.60317704990096
2017-01-17,0,49.34907510537755
2017-01-18,0,25.255817686689184
2017-01-19,0,-57.578851529364606
2017-01-20,0,-14.667704637195994
2017-01-21,0,-49.10647396079362
2017-01-24,0,-14.33107213079928
2017-01-25,0,-9.9480615866779
2017-01-26,0,-20.58189069660705
2017-01-27,0,-0.7715690174831418
2017-01-28,0,-61.1609128678889
2017-01-31,0,-38.679569563827044
2017-02-01,0,-47.375085467300096
2017-02-02,0,-43.68289613678516
2017-02-03,0,-101.05648336292569
2017-02-04,0,57.25131021472053
2017-02-07,0,19.48683796447296
2017-02-08,0,11.361879317152452
2017-02-09,0,-65.70844180444236
2017-02-10,0,-61.91269802412184
2017-02-11,0,67.41964812237879
2017-02-14,0,39.61865788818264
2017-02-15,0,10.431910037132116
2017-02-16,0,-5.52173542583654
2017-02-17,0,-30.033233679945095
2017-02-18,0,4.351860929075739
2017-02-21,0,-36.24973738334014
2017-02-22,0,
2017-02-23,0,4.858900169476491
2017-02-24,0,28.581279958610843
2017-02-25,0,-4.885421875343819
2017-02-28,0,-3.7582020765635504
2017-03-01,0,-80.13057598894748
2017-03-02,0,17.048806619456904
2017-03-03,0,12.191878684102731
2017-03-04,0,-52.960108237792205
2017-03-07,0,25.11892238176083
2017-03-08,0,-42.151943889616135
2017-03-09,0,-29.61389774317354
2017-03-10,0,-22.44504590171694
2017-03-11,0,29.501108236530996
