,RankIC均值,RankIC标准差,RankICIR(年化),IC>0胜率
PCF,0.037075811529749106,0.09441020540151047,1.3603866028734648,0.6515151515151515
VCF,0.0693518398553634,0.09075845159046737,2.6470462667189505,0.7954545454545454
PVCF,0.0759737668882138,0.09168689200662847,2.8704304707649393,0.7878787878787878
ACF,0.09091242999116454,0.08271291689777183,3.807505615570606,0.8939393939393939
TRCF,0.09390714134596952,0.07939050121026378,4.0975163911358,0.8863636363636364
