,RankIC均值,RankIC标准差,RankICIR(年化),IC>0胜率
PCF,0.09521402125205572,0.18862489752132952,1.7486082120506374,0.7103092783505155
VCF,0.11438644893741051,0.18455637267295888,2.147020321081624,0.7350515463917526
PVCF,0.13060897839721589,0.18486486565353383,2.4474243465236785,0.7422680412371134
ACF,0.14235329591973306,0.20538600493054196,2.400973145577747,0.7381443298969073
TRCF,0.09812798594383954,0.222188698490715,1.5298947107000336,0.6659793814432989
