,PCF,VCF,PVCF,ACF,TRCF
2020-01-02,,,,,
2020-01-03,,,,,
2020-01-06,,,,,
2020-01-07,,,,,
2020-01-08,-0.26899696048632216,-0.15501519756838905,-0.25803300043421623,-0.19865392965696918,-0.16497923806939244
2020-01-09,-0.4717759444203213,-0.278006947459835,-0.39285714285714285,-0.3187147199305254,-0.1194191888881817
2020-01-10,-0.15588786067021307,-0.02746417716022579,-0.08380373425966132,-0.17314372557533653,0.10182923534514705
2020-01-13,-0.07115911745774696,-0.1754233608336952,-0.1984368215371255,-0.26780286582718194,-0.20125922709509333
2020-01-14,-0.28983933999131567,-0.3036257056013895,-0.31589231437255755,-0.36419887103777676,-0.26998860160275134
2020-01-15,-0.3660442900564481,-0.31068171949630913,-0.36191923577941815,-0.4297655232305688,-0.3707121146330873
2020-01-16,-0.20614415979157621,-0.21222318714719932,-0.26356925749023014,-0.2865827181936604,-0.19224924012158054
2020-01-17,-0.08423795049934868,-0.23241424229266175,-0.18671298306556666,-0.3218627876682588,-0.35464611376465477
2020-01-20,-0.22405557967868,-0.22003907946157186,-0.2778983933999132,-0.35551454624402956,-0.3179548415110725
2020-01-21,-0.20885801128962225,-0.23957881024750324,-0.25217108119843684,-0.2886452453321754,-0.1741207121146331
2020-01-22,-0.17897959183673467,-0.3445918367346938,-0.30336734693877554,-0.3938775510204081,-0.3627551020408163
2020-01-23,-0.16346938775510203,-0.1770408163265306,-0.17020408163265308,-0.23887755102040814,-0.19428571428571426
2020-02-03,-0.0857142857142857,-0.2711224489795918,-0.24887755102040815,-0.3058163265306122,-0.3608163265306122
2020-02-04,0.15265306122448977,0.10061224489795917,0.1140816326530612,0.10653061224489795,-0.22204081632653058
2020-02-05,0.09428571428571428,-0.09826530612244896,-0.03714285714285714,-0.11877551020408163,-0.32091836734693874
2020-02-06,0.12632653061224489,-0.032755102040816324,0.06816326530612245,-0.03173469387755102,-0.3181632653061224
2020-02-07,0.1277551020408163,0.05285714285714285,0.13918367346938773,0.03979591836734694,-0.18102040816326528
2020-02-10,0.08081632653061224,0.02959183673469387,0.10387755102040816,0.06612244897959184,-0.12010204081632651
2020-02-11,0.059081632653061225,-0.17285714285714282,-0.02561224489795918,-0.18469387755102037,-0.30193877551020404
2020-02-12,0.06510204081632652,0.04418367346938775,0.12428571428571428,0.09081632653061222,-0.07785714285714285
2020-02-13,0.03653434042904247,0.17307888650183245,0.19593836207754622,0.19614246453804365,0.02490050018068816
2020-02-14,0.10285714285714286,0.13357142857142856,0.19306122448979587,0.18642857142857142,-0.05428571428571428
2020-02-17,0.11479591836734693,0.10857142857142855,0.18530612244897957,0.20224489795918366,-0.1104081632653061
2020-02-18,0.12469387755102039,0.14724489795918366,0.17316326530612242,0.19938775510204076,0.04795918367346939
2020-02-19,0.18499999999999997,0.2340816326530612,0.23755102040816325,0.315204081632653,0.10489795918367345
2020-02-20,0.1577551020408163,0.13163265306122449,0.19367346938775507,0.22755102040816325,0.02204081632653061
2020-02-21,0.3422448979591836,0.3643877551020408,0.3737755102040816,0.41469387755102033,0.20673469387755097
2020-02-24,0.506938775510204,0.44673469387755094,0.5224489795918367,0.583469387755102,0.40255102040816326
2020-02-25,0.5408163265306122,0.5714285714285713,0.6456122448979591,0.6998979591836734,0.6348979591836734
2020-02-26,0.5277551020408163,0.3056122448979592,0.46887755102040807,0.4811224489795918,0.38877551020408163
2020-02-27,0.3677551020408163,0.41051020408163263,0.4317346938775509,0.5022448979591836,0.391734693877551
2020-02-28,0.38275510204081625,0.4687755102040816,0.5122448979591836,0.5679591836734693,0.3960204081632652
2020-03-02,0.3659183673469387,0.62,0.6037755102040816,0.6903061224489795,0.6287755102040816
2020-03-03,0.32091836734693874,0.5103061224489795,0.5079591836734693,0.626938775510204,0.6153061224489795
2020-03-04,0.16183673469387755,0.4637755102040816,0.44724489795918365,0.5359183673469387,0.5995918367346939
2020-03-05,0.09377551020408162,0.32989795918367343,0.3037755102040816,0.42163265306122444,0.478673469387755
2020-03-06,0.381734693877551,0.48510204081632646,0.5327551020408163,0.5431632653061224,0.41061224489795917
2020-03-09,0.3352040816326531,0.5329591836734694,0.5548979591836734,0.5318367346938775,0.42397959183673467
2020-03-10,0.3294897959183673,0.5874489795918366,0.5601020408163264,0.5578571428571428,0.5243877551020408
2020-03-11,0.4014285714285714,0.5783673469387755,0.5901020408163264,0.5945918367346938,0.5070408163265305
2020-03-12,0.3394897959183673,0.5694897959183672,0.5897959183673468,0.6168367346938776,0.49663265306122445
2020-03-13,0.2387755102040816,0.6085714285714285,0.5720408163265306,0.6222448979591836,0.5114285714285713
2020-03-16,0.09295918367346936,0.5651020408163265,0.4532653061224489,0.5137755102040815,0.46255102040816326
2020-03-17,0.07663265306122448,0.4908163265306122,0.3792857142857142,0.44632653061224487,0.3838775510204081
2020-03-18,0.06561224489795918,0.4790816326530612,0.3906122448979592,0.43193877551020404,0.46397959183673465
2020-03-19,-0.04694356591441211,0.3071742030486531,0.2520665387143433,0.31309317440307904,0.4446372101936817
2020-03-20,-0.0070408163265306125,0.3756122448979592,0.27030612244897956,0.3898979591836734,0.47489795918367345
2020-03-23,0.05153061224489795,0.34510204081632645,0.2866326530612245,0.3161224489795918,0.30693877551020404
2020-03-24,0.17091836734693874,0.41551020408163264,0.4157142857142857,0.47571428571428565,0.3770408163265305
2020-03-25,0.15683673469387752,0.4544897959183673,0.42938775510204075,0.4983673469387755,0.31877551020408157
2020-03-26,0.11285714285714284,0.36510204081632647,0.30755102040816323,0.3970408163265306,0.2943877551020408
2020-03-27,0.22438775510204081,0.420204081632653,0.40295918367346933,0.46744897959183673,0.34255102040816326
2020-03-30,0.16755102040816325,0.3514285714285714,0.3195918367346939,0.3624489795918367,0.3214285714285714
2020-03-31,0.0031632653061224487,0.22561224489795917,0.1364285714285714,0.24397959183673468,0.23224489795918365
2020-04-01,0.05153061224489795,0.1624489795918367,0.1913265306122449,0.23540816326530611,0.22918367346938773
2020-04-02,0.03724489795918367,0.23683673469387753,0.19255102040816324,0.25846938775510203,0.2713265306122449
2020-04-03,-0.2909183673469387,0.11193877551020406,-0.07806122448979591,0.035918367346938776,0.313469387755102
2020-04-07,-0.2759183673469387,0.1454081632653061,-0.05877551020408163,0.07928571428571428,0.25479591836734694
2020-04-08,-0.2801020408163265,0.09122448979591836,-0.09,0.039999999999999994,0.2468367346938775
2020-04-09,-0.32132653061224487,0.004897959183673469,-0.15785714285714283,-0.05928571428571428,0.07714285714285714
