,PCF,VCF,PVCF,ACF,TRCF
2013-01-31,0.06926672179727865,0.2656616963396212,0.25500936787706957,0.20549505878906546,0.052030326512048676
2013-02-28,0.0188299743204235,0.2239534563639852,0.1936737608050266,0.21024231015428704,0.0681821556704617
2013-03-29,-0.09285651635554229,0.0999981755191756,0.025541158918761915,0.042248459573227475,0.023875111155024203
2013-04-26,-0.0807643966193934,0.08258490330228285,0.08621147730326498,0.016894969711277692,-0.004776730903590348
2013-05-31,-0.2082795674089513,0.09648328187421111,-0.06552338025845145,-0.026296190617872212,-0.06952401394287387
2013-06-28,-0.009635189730024982,0.0964796790031073,0.06896682635340513,-0.001134287489526412,0.008997120543792446
2013-07-31,-0.02757127051409101,0.03914394509277431,0.04333297643604098,0.08034126330775748,0.17651258741256406
2013-08-30,-0.023150558586786437,0.13350436899266444,0.09177058199345751,0.0964998781276819,0.0950646763539987
2013-09-30,0.2547885080109388,0.08076118345807762,0.2158707995845095,0.1910689508691945,0.1256003311805669
2013-10-31,0.003281059301959254,0.1477179335846986,0.1371079934082073,0.062493793812384915,-0.02343307945995218
2013-11-29,0.07718456723124337,0.2023482471138344,0.20741438593004677,0.1735596096717624,0.18649905785021595
2013-12-31,-0.09579825123605257,0.13697259895908212,0.047174618912803605,0.01541364952780448,-0.06724490804127203
2014-01-30,0.14716942766972776,-0.07199551332429005,0.0797439755127888,0.07470792282184996,0.18605907523515575
2014-02-28,0.21455389058627589,0.06148164242192655,0.24493737272803243,0.25599570608850036,0.2797406061058475
2014-03-31,0.05188131360039442,0.16631791896147438,0.15960941753578334,0.1616801085400836,0.15319276401581697
2014-04-30,-0.040427581518866405,0.08252139232031011,0.030996312218657666,0.019974667593114153,0.017084768240158074
2014-05-30,-0.04383592226031634,0.07611012065933662,0.03239805802420324,0.0042225219556217206,0.054509966613551536
2014-06-30,0.19846460292182733,-0.008749129016659826,0.13541877276752468,0.13703795477859543,0.16043793138451354
2014-07-31,0.09784007529195325,0.08281531659711629,0.17873869805533288,0.1348660068698719,0.1530000874352864
2014-08-29,0.13569143718174403,-0.06149227955440915,0.05714628195979962,0.07613662598244215,0.08905090666466767
2014-09-30,0.16094152593626282,0.014142648133677473,0.12148758419741726,0.11884884589180204,0.11367380769088574
2014-10-31,0.07042684580903374,-0.07115497782346467,-0.002906242351790678,0.006119864500507656,0.01264170538108746
2014-11-28,0.07527869767896685,-0.04119673552070251,-0.01969959871824774,0.021402626199327,0.022183329660185196
2014-12-31,-0.07573729311663643,0.14914125005252474,0.0868812923268548,0.09543991432672504,0.11121450138109289
